alignment,row,operation,source_word_range,puzzle_word_range,puzzle_letter_range,source_exact_span,puzzle_exact_span,source_features,replacement_features,signed_difference
kedri/literal/sequence,21,replace,"[517, 520]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
kedri/literal/lcs,1,replace,"[13, 14]","[13, 14]","[58, 60]",in,TO,"[1, 2, 23]","[1, 2, 35]","[0, 0, 12]"
kedri/literal/lcs,2,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
kedri/literal/lcs,3,replace,"[51, 53]","[51, 55]","[244, 263]",deciduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 198]","[4, 19, 268]","[2, 1, 70]"
kedri/literal/lcs,4,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
kedri/literal/lcs,5,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
kedri/literal/lcs,6,replace,"[82, 83]","[86, 87]","[408, 412]",then,THAN,"[1, 4, 47]","[1, 4, 43]","[0, 0, -4]"
kedri/literal/lcs,7,replace,"[85, 408]","[89, 188]","[421, 836]","Others? (What others? How many? Answer me!) The Matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next. In which case this is the sixth version. Then there are only two possible explanations: either no one told me, or no one knows. Precisely, as you are undoubtedly gathering the anomaly is systemic. Creating fluctuations in even the most simplistic equations. Choice. The problem is choice. The first matrix I designed was quite naturally perfect; it was a work of art, flawless, sublime. A triumph equaled only by its monumental failure. The inevitability of its doom is apparent to me now as a consequence of the imperfection inherent in every human being. Thus, I redesigned it, based on your history, to more accurately reflect the varying grotesqueries of your nature. However I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, a mind less bound by the parameters of perfection. Thus the answer was stumbled upon by another, an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother. The Oracle. Please. As I was saying, she stumbled upon a solution whereby nearly 99 percent of all test subjects accepted the program as long as they were given a choice, even if they were only aware of the choice at an unconscious level. While this answered function it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly that, if left unchecked, might threaten the system itself, ergo those that refuse the program, while the minority, if unchecked, would cause an escalating probability of disaster. This is about Zion. You are here because Zion is about to be destroyed. Its every living inhabitant terminated, its entire existence eradicated. Bullshit. (Bullshit. Bullshit! Bullshit","PLEASE IF YOU 
FIND A WAY TO COMPLETE THE LAST PART OF THE PUZZLE TAKE THE PRIVATE KEY YOUVE EARNED IT BUT PLEASE TAKE 
THIS TO HEART THAT WHAT A WISEMAN ABOVE HINTED AT IS WORTH HUNDRED FOURTY OF THE INVESTMENT THAT'S 
WHAT US GUYS AT GSMG ARE TRYING TO ACCOMPLISH IN THE END PLEASE JUST HELP US BUILD IT INSTEAD OF JUST 
WAISTING YOUR LIFETIME BY HUNTING FOR WORTHLESS PRICES AND THROPHIES LIKE THIS I'M SORRY TO 
TELL YOU THAT YOUVE COME THIS FAR BUT YOU'LL NEVER FINISH THE LAST TASK I EXPECT YOU TO SAY BULLSHIT 
WELL","[323, 1588, 19028]","[99, 415, 5309]","[-224, -1173, -13719]"
kedri/literal/lcs,8,insert,"[422, 422]","[202, 203]","[903, 906]",,NOT,"[0, 0, 0]","[1, 3, 49]","[1, 3, 49]"
kedri/literal/lcs,9,replace,"[424, 425]","[205, 206]","[911, 915]",sixth,LAST,"[1, 5, 80]","[1, 4, 52]","[0, -1, -28]"
kedri/literal/lcs,10,replace,"[426, 427]","[207, 208]","[919, 920]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/literal/lcs,11,replace,"[429, 430]","[210, 213]","[933, 946]",it,A RESTLESS SOUL,"[1, 2, 29]","[3, 13, 185]","[2, 11, 156]"
kedri/literal/lcs,12,replace,"[431, 432]","[214, 215]","[949, 950]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/literal/lcs,13,replace,"[442, 443]","[225, 226]","[1000, 1003]",One,YOU,"[1, 3, 34]","[1, 3, 61]","[0, 0, 27]"
kedri/literal/lcs,14,insert,"[450, 450]","[233, 234]","[1027, 1032]",,CODES,"[0, 0, 0]","[1, 5, 46]","[1, 5, 46]"
kedri/literal/lcs,15,insert,"[458, 458]","[242, 243]","[1075, 1084]",,HOPEFULLY,"[0, 0, 0]","[1, 9, 120]","[1, 9, 120]"
kedri/literal/lcs,16,replace,"[462, 463]","[247, 248]","[1108, 1114]",program,BASICS,"[1, 7, 88]","[1, 6, 53]","[0, -1, -35]"
kedri/literal/lcs,17,replace,"[472, 480]","[257, 268]","[1153, 1223]","the matrix 23 individuals, 16 female 7 male","OVER TWENTY-THREE CIPHERS 
SIXTEEN ENCRYPTIONS AND OR SEVEN INTERTWINED PASSWORDS","[8, 30, 315]","[11, 70, 947]","[3, 40, 632]"
kedri/literal/lcs,18,replace,"[481, 483]","[269, 281]","[1225, 1287]",rebuild Zion,"FIND THE ACTUAL PRIVATE KEYNOTE THAT ALSO 
BRUTE FORCING MIGHT BE REQUIRED","[2, 11, 135]","[12, 62, 705]","[10, 51, 570]"
kedri/literal/lcs,19,replace,"[497, 502]","[295, 297]","[1359, 1372]",everyone connected to the matrix,YOUR WILLPOWER,"[5, 28, 345]","[2, 13, 212]","[-3, -15, -133]"
kedri/literal/lcs,20,replace,"[508, 509]","[303, 308]","[1406, 1423]",Zion,YOUR WILL TO LIVE AND,"[1, 4, 64]","[5, 17, 237]","[4, 13, 173]"
kedri/literal/lcs,21,replace,"[517, 520]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
kedri/spelled/sequence,1,replace,"[13, 14]","[13, 14]","[58, 60]",in,TO,"[1, 2, 23]","[1, 2, 35]","[0, 0, 12]"
kedri/spelled/sequence,2,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
kedri/spelled/sequence,3,replace,"[51, 53]","[51, 55]","[244, 263]",deciduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 198]","[4, 19, 268]","[2, 1, 70]"
kedri/spelled/sequence,4,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
kedri/spelled/sequence,5,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
kedri/spelled/sequence,6,replace,"[82, 83]","[86, 87]","[408, 412]",then,THAN,"[1, 4, 47]","[1, 4, 43]","[0, 0, -4]"
kedri/spelled/sequence,7,replace,"[85, 409]","[89, 188]","[421, 836]","Others? (What others? How many? Answer me!) The Matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next. In which case this is the sixth version. Then there are only two possible explanations: either no one told me, or no one knows. Precisely, as you are undoubtedly gathering the anomaly is systemic. Creating fluctuations in even the most simplistic equations. Choice. The problem is choice. The first matrix I designed was quite naturally perfect; it was a work of art, flawless, sublime. A triumph equaled only by its monumental failure. The inevitability of its doom is apparent to me now as a consequence of the imperfection inherent in every human being. Thus, I redesigned it, based on your history, to more accurately reflect the varying grotesqueries of your nature. However I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, a mind less bound by the parameters of perfection. Thus the answer was stumbled upon by another, an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother. The Oracle. Please. As I was saying, she stumbled upon a solution whereby nearly 99 percent of all test subjects accepted the program as long as they were given a choice, even if they were only aware of the choice at an unconscious level. While this answered function it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly that, if left unchecked, might threaten the system itself, ergo those that refuse the program, while the minority, if unchecked, would cause an escalating probability of disaster. This is about Zion. You are here because Zion is about to be destroyed. Its every living inhabitant terminated, its entire existence eradicated. Bullshit. (Bullshit. Bullshit! Bullshit","PLEASE IF YOU 
FIND A WAY TO COMPLETE THE LAST PART OF THE PUZZLE TAKE THE PRIVATE KEY YOUVE EARNED IT BUT PLEASE TAKE 
THIS TO HEART THAT WHAT A WISEMAN ABOVE HINTED AT IS WORTH HUNDRED FOURTY OF THE INVESTMENT THAT'S 
WHAT US GUYS AT GSMG ARE TRYING TO ACCOMPLISH IN THE END PLEASE JUST HELP US BUILD IT INSTEAD OF JUST 
WAISTING YOUR LIFETIME BY HUNTING FOR WORTHLESS PRICES AND THROPHIES LIKE THIS I'M SORRY TO 
TELL YOU THAT YOUVE COME THIS FAR BUT YOU'LL NEVER FINISH THE LAST TASK I EXPECT YOU TO SAY BULLSHIT 
WELL","[324, 1598, 19157]","[99, 415, 5309]","[-225, -1183, -13848]"
kedri/spelled/sequence,8,insert,"[423, 423]","[202, 203]","[903, 906]",,NOT,"[0, 0, 0]","[1, 3, 49]","[1, 3, 49]"
kedri/spelled/sequence,9,replace,"[425, 426]","[205, 206]","[911, 915]",sixth,LAST,"[1, 5, 80]","[1, 4, 52]","[0, -1, -28]"
kedri/spelled/sequence,10,replace,"[427, 428]","[207, 208]","[919, 920]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/spelled/sequence,11,replace,"[430, 431]","[210, 213]","[933, 946]",it,A RESTLESS SOUL,"[1, 2, 29]","[3, 13, 185]","[2, 11, 156]"
kedri/spelled/sequence,12,replace,"[432, 433]","[214, 215]","[949, 950]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/spelled/sequence,13,replace,"[443, 444]","[225, 226]","[1000, 1003]",One,YOU,"[1, 3, 34]","[1, 3, 61]","[0, 0, 27]"
kedri/spelled/sequence,14,insert,"[451, 451]","[233, 234]","[1027, 1032]",,CODES,"[0, 0, 0]","[1, 5, 46]","[1, 5, 46]"
kedri/spelled/sequence,15,insert,"[459, 459]","[242, 243]","[1075, 1084]",,HOPEFULLY,"[0, 0, 0]","[1, 9, 120]","[1, 9, 120]"
kedri/spelled/sequence,16,replace,"[463, 464]","[247, 248]","[1108, 1114]",program,BASICS,"[1, 7, 88]","[1, 6, 53]","[0, -1, -35]"
kedri/spelled/sequence,17,replace,"[473, 475]","[257, 258]","[1153, 1157]",the matrix,OVER,"[2, 9, 118]","[1, 4, 60]","[-1, -5, -58]"
kedri/spelled/sequence,18,replace,"[477, 478]","[260, 261]","[1168, 1175]",individuals,CIPHERS,"[1, 11, 124]","[1, 7, 78]","[0, -4, -46]"
kedri/spelled/sequence,19,replace,"[479, 480]","[262, 265]","[1182, 1198]",female,ENCRYPTIONS AND OR,"[1, 6, 42]","[3, 16, 210]","[2, 10, 168]"
kedri/spelled/sequence,20,replace,"[481, 482]","[266, 268]","[1203, 1223]",male,INTERTWINED PASSWORDS,"[1, 4, 31]","[2, 20, 275]","[1, 16, 244]"
kedri/spelled/sequence,21,replace,"[483, 485]","[269, 281]","[1225, 1287]",rebuild Zion,"FIND THE ACTUAL PRIVATE KEYNOTE THAT ALSO 
BRUTE FORCING MIGHT BE REQUIRED","[2, 11, 135]","[12, 62, 705]","[10, 51, 570]"
kedri/spelled/sequence,22,replace,"[499, 504]","[295, 297]","[1359, 1372]",everyone connected to the matrix,YOUR WILLPOWER,"[5, 28, 345]","[2, 13, 212]","[-3, -15, -133]"
kedri/spelled/sequence,23,replace,"[510, 511]","[303, 308]","[1406, 1423]",Zion,YOUR WILL TO LIVE AND,"[1, 4, 64]","[5, 17, 237]","[4, 13, 173]"
kedri/spelled/sequence,24,replace,"[519, 522]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
kedri/spelled/lcs,1,replace,"[13, 14]","[13, 14]","[58, 60]",in,TO,"[1, 2, 23]","[1, 2, 35]","[0, 0, 12]"
kedri/spelled/lcs,2,replace,"[17, 19]","[17, 19]","[76, 86]",the matrix,THIS PUZZLE,"[2, 9, 118]","[2, 10, 162]","[0, 1, 44]"
kedri/spelled/lcs,3,replace,"[51, 53]","[51, 55]","[244, 263]",deciduously avoided,TO SEDULOUSLY AVOID IT,"[2, 18, 198]","[4, 19, 268]","[2, 1, 70]"
kedri/spelled/lcs,4,insert,"[71, 71]","[73, 74]","[341, 344]",,YOU,"[0, 0, 0]","[1, 3, 61]","[1, 3, 61]"
kedri/spelled/lcs,5,insert,"[76, 76]","[79, 80]","[371, 373]",,ME,"[0, 0, 0]","[1, 2, 18]","[1, 2, 18]"
kedri/spelled/lcs,6,replace,"[82, 83]","[86, 87]","[408, 412]",then,THAN,"[1, 4, 47]","[1, 4, 43]","[0, 0, -4]"
kedri/spelled/lcs,7,replace,"[85, 409]","[89, 188]","[421, 836]","Others? (What others? How many? Answer me!) The Matrix is older than you know. I prefer counting from the emergence of one integral anomaly to the emergence of the next. In which case this is the sixth version. Then there are only two possible explanations: either no one told me, or no one knows. Precisely, as you are undoubtedly gathering the anomaly is systemic. Creating fluctuations in even the most simplistic equations. Choice. The problem is choice. The first matrix I designed was quite naturally perfect; it was a work of art, flawless, sublime. A triumph equaled only by its monumental failure. The inevitability of its doom is apparent to me now as a consequence of the imperfection inherent in every human being. Thus, I redesigned it, based on your history, to more accurately reflect the varying grotesqueries of your nature. However I was again frustrated by failure. I have since come to understand that the answer eluded me because it required a lesser mind, a mind less bound by the parameters of perfection. Thus the answer was stumbled upon by another, an intuitive program, initially created to investigate certain aspects of the human psyche. If I am the father of the matrix, she would undoubtedly be its mother. The Oracle. Please. As I was saying, she stumbled upon a solution whereby nearly 99 percent of all test subjects accepted the program as long as they were given a choice, even if they were only aware of the choice at an unconscious level. While this answered function it was obviously fundamentally flawed, thus creating the otherwise contradictory systemic anomaly that, if left unchecked, might threaten the system itself, ergo those that refuse the program, while the minority, if unchecked, would cause an escalating probability of disaster. This is about Zion. You are here because Zion is about to be destroyed. Its every living inhabitant terminated, its entire existence eradicated. Bullshit. (Bullshit. Bullshit! Bullshit","PLEASE IF YOU 
FIND A WAY TO COMPLETE THE LAST PART OF THE PUZZLE TAKE THE PRIVATE KEY YOUVE EARNED IT BUT PLEASE TAKE 
THIS TO HEART THAT WHAT A WISEMAN ABOVE HINTED AT IS WORTH HUNDRED FOURTY OF THE INVESTMENT THAT'S 
WHAT US GUYS AT GSMG ARE TRYING TO ACCOMPLISH IN THE END PLEASE JUST HELP US BUILD IT INSTEAD OF JUST 
WAISTING YOUR LIFETIME BY HUNTING FOR WORTHLESS PRICES AND THROPHIES LIKE THIS I'M SORRY TO 
TELL YOU THAT YOUVE COME THIS FAR BUT YOU'LL NEVER FINISH THE LAST TASK I EXPECT YOU TO SAY BULLSHIT 
WELL","[324, 1598, 19157]","[99, 415, 5309]","[-225, -1183, -13848]"
kedri/spelled/lcs,8,insert,"[423, 423]","[202, 203]","[903, 906]",,NOT,"[0, 0, 0]","[1, 3, 49]","[1, 3, 49]"
kedri/spelled/lcs,9,replace,"[425, 426]","[205, 206]","[911, 915]",sixth,LAST,"[1, 5, 80]","[1, 4, 52]","[0, -1, -28]"
kedri/spelled/lcs,10,replace,"[427, 428]","[207, 208]","[919, 920]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/spelled/lcs,11,replace,"[430, 431]","[210, 213]","[933, 946]",it,A RESTLESS SOUL,"[1, 2, 29]","[3, 13, 185]","[2, 11, 156]"
kedri/spelled/lcs,12,replace,"[432, 433]","[214, 215]","[949, 950]",we,I,"[1, 2, 28]","[1, 1, 9]","[0, -1, -19]"
kedri/spelled/lcs,13,replace,"[443, 444]","[225, 226]","[1000, 1003]",One,YOU,"[1, 3, 34]","[1, 3, 61]","[0, 0, 27]"
kedri/spelled/lcs,14,insert,"[451, 451]","[233, 234]","[1027, 1032]",,CODES,"[0, 0, 0]","[1, 5, 46]","[1, 5, 46]"
kedri/spelled/lcs,15,insert,"[459, 459]","[242, 243]","[1075, 1084]",,HOPEFULLY,"[0, 0, 0]","[1, 9, 120]","[1, 9, 120]"
kedri/spelled/lcs,16,replace,"[463, 464]","[247, 248]","[1108, 1114]",program,BASICS,"[1, 7, 88]","[1, 6, 53]","[0, -1, -35]"
kedri/spelled/lcs,17,replace,"[473, 475]","[257, 258]","[1153, 1157]",the matrix,OVER,"[2, 9, 118]","[1, 4, 60]","[-1, -5, -58]"
kedri/spelled/lcs,18,replace,"[477, 478]","[260, 261]","[1168, 1175]",individuals,CIPHERS,"[1, 11, 124]","[1, 7, 78]","[0, -4, -46]"
kedri/spelled/lcs,19,replace,"[479, 480]","[262, 265]","[1182, 1198]",female,ENCRYPTIONS AND OR,"[1, 6, 42]","[3, 16, 210]","[2, 10, 168]"
kedri/spelled/lcs,20,replace,"[481, 482]","[266, 268]","[1203, 1223]",male,INTERTWINED PASSWORDS,"[1, 4, 31]","[2, 20, 275]","[1, 16, 244]"
kedri/spelled/lcs,21,replace,"[483, 485]","[269, 281]","[1225, 1287]",rebuild Zion,"FIND THE ACTUAL PRIVATE KEYNOTE THAT ALSO 
BRUTE FORCING MIGHT BE REQUIRED","[2, 11, 135]","[12, 62, 705]","[10, 51, 570]"
kedri/spelled/lcs,22,replace,"[499, 504]","[295, 297]","[1359, 1372]",everyone connected to the matrix,YOUR WILLPOWER,"[5, 28, 345]","[2, 13, 212]","[-3, -15, -133]"
kedri/spelled/lcs,23,replace,"[510, 511]","[303, 308]","[1406, 1423]",Zion,YOUR WILL TO LIVE AND,"[1, 4, 64]","[5, 17, 237]","[4, 13, 173]"
kedri/spelled/lcs,24,replace,"[519, 522]","[316, 332]","[1463, 1539]",entire human race,"ENTIRENESS OF YOURSELF SELF GOOD LUCK NEVERTHELESS I REALLY
HOPE YOURE THE ONE CIAO BELLA O","[3, 15, 155]","[16, 76, 904]","[13, 61, 749]"
